Unique ID,Product Name,Model,Company,search,amazon_link
88,Go ultra,Go ultra,Go Hearing,Go ultraGo ultra,https://www.amazon.com/Go-Ultra-Hearing-Aids-Seniors/dp/B0C1NQQ84B/ref=sr_1_1_sspa?crid=G3APKBF36XY3&dib=eyJ2IjoiMSJ9.g0J7qg6_MRwLL28Ls6ZDMZiDp6HH49XrdILcv4SWkwHWm3KrvhU8ZLI0hCFMrmPAdK9pNoBTbRInBso8ANoJucRPM03uFIEEWz1_6QmS1nGnx2bNiEcJMHvShJy-Ilf3gk59g4w0QKwXyJbnByJPoTkGFAXuxoMH9-wEZLEn3vSlN_ojX5YjVcPN0nl1zs5iUWmXdjcWyYEbgUQ7kzSqwx95BA9Ez5mC2vopJpYNzFxV-pUomC6z4N1xFhCJg4vrDlSdtajy8Z0dEnhN2njZJxsFPiX_6S8HytxztZhTCCY.z2wZDfVB0B2C5ZjkpnJ_A_tTx5FSoaSoYvnXNdYo0fk&dib_tag=se&keywords=Go+ultra+hearing+aids&qid=1719619577&sprefix=go+ultra+hearing+aids%2Caps%2C78&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
89,Go prime,Go prime,Go Hearing,Go primeGo prime,https://www.amazon.com/Go-Hearing-Rechargeable-Reduction-Discreet/dp/B0BK9WWHDY/ref=sr_1_5?crid=33BKFPSN54SN9&dib=eyJ2IjoiMSJ9.Rv85L42jEnDnm0HcaRIUlSAhMkqXhP7_jqevPG_DdQq11D584FbR6Ud79ewUzSKN8pBHc7L57UY43ZD9mKlTcYbSoqhQPCQ194WP4dhwcTn8Hzb57RoWMZ8hf3qaO5HBQ3mG0tFnK6SiTUsJRU1gtZVPgZAfQLHLdkacGlIjqPSxK0i-gfvjqOzHElPgHMZdRq89I76Fj4pYz4u_hy-q5UqZtjcaPVaosWktDMBI-JBRXCRJsWMXqyzKEHtYLOIgm3_8aJY0IA3ft51IMDRqGz_skeGNL75G7Pu2PTetzW8.LZBGp98FnKJOkPHEtNcCJcu5AOh9aJzRu8kBEUbwU08&dib_tag=se&keywords=Go+prime+hearing+aids&qid=1719619588&sprefix=go+prime+hearing+aids%2Caps%2C77&sr=8-5
90,Go lite,Go lite,Go Hearing,Go liteGo lite,n/a
91,Sontro,Sontro,"Soundwave Hearing, LLC",SontroSontro,https://www.amazon.com/Sontro-Hearing-Aids-Seniors-Adults/dp/B0B3C2S8QX/ref=sr_1_5?crid=6HY1T8OCSTW8&dib=eyJ2IjoiMSJ9.lx1NS7wt8J0nOjJhp3d31GabMBPSUJmEzPAhleSkrTF6LBChMiLjU9UEM3DvoTwbaD2C8hAQ6np8YzopVI5MNutnzcMZ3JqU1nZJP6K7CEQeCoTMKWNSwYGvs5H7-63qIxLDDGXMhZU_JPrbtDui1N7v6Xf3a7bP2YXln3yUxrD8NgG0tGjII2X0hgjYoBJmK6Nw9vOnJQm0Db3xorYOqM5O-tJZfbs5_6FnTQXs83tboYWftLTB9eIAsg2d5Tj5A2pdRuxM5Bi_gRB6RWIfAUWLBKIVOpKHgANCnS8POmQ.Pm6drhHBmNvvYQMUmLquuiqwRkzwG801ex33jzVTcZ4&dib_tag=se&keywords=Sontro+hear+soundwave+hearing+aid&qid=1719619637&sprefix=sontro+hear+soundwave+hearing+aid%2Caps%2C65&sr=8-5
92,HD75,HD75,Sound World Solutions,HD75HD75,https://www.amazon.com/Sound-World-Solutions-Cancellation-Multichannel/dp/B0B75XVK9Q/ref=sr_1_1?crid=1MSB08ALATN77&dib=eyJ2IjoiMSJ9.qqUAwh776zwqPSc2ZpOUpWHctK09nbBV_RWSpShspAymoGaYQCJu_0e6a0y0p1EffwQ78GOASJAgBF-yQT8SzQ.0f_wnO1LdD5V5-3oy-W3vgT_GFsx2A1khvXeF1EcVJk&dib_tag=se&keywords=sound+world+solutions+HD75&qid=1719619697&sprefix=sound+world+solutions+hd75%2Caps%2C88&sr=8-1
93,HD75R,HD75R,Sound World Solutions,HD75RHD75R,n/a
94,CS50,CS50,Sound World Solutions,CS50CS50,https://www.amazon.com/Sound-World-Solutions-CS50-Bluetooth/dp/B00JAWKPCW/ref=sr_1_3?crid=2M17CR0SR6V2I&dib=eyJ2IjoiMSJ9.LEPbKvdVVV8xrqK9cZnUI_ORXOyb2JuI-5wPQBatc9E.tEL5E8CZIxCVWwV_XmJHa4nXnTP9qqIu5JyPK2l2NpM&dib_tag=se&keywords=sound+world+solutionscs50&qid=1719619738&sprefix=sound+world+solutionscs50%2Caps%2C72&sr=8-3
95,HD100 Companion,HD100 Companion,Sound World Solutions,HD100 CompanionHD100 Companion,https://www.amazon.com/Sound-World-Solutions-Rechargeable-Cancellation/dp/B0B75XL9GQ/ref=sr_1_4?crid=252C7037OVISG&dib=eyJ2IjoiMSJ9.LEPbKvdVVV8xrqK9cZnUI_ORXOyb2JuI-5wPQBatc9E.tEL5E8CZIxCVWwV_XmJHa4nXnTP9qqIu5JyPK2l2NpM&dib_tag=se&keywords=sound+world+solutions+HD75r&qid=1719619713&sprefix=sound+world+solutions+hd75r%2Caps%2C94&sr=8-4
96,Nova,Nova,Linner,NovaNova,https://www.amazon.com/Bluetooth-Rechargeable-Cancellation-Wireless-NOVA-01/dp/B0CMHCGKPN/ref=sr_1_1?crid=3FL1BYUL40ANB&dib=eyJ2IjoiMSJ9.dGxb97vpYlU2-vhOZE8zr-PXk-ZOtszEFzsPbxjPWo_wa85MonkMW-mpye9I3TUSP-3PC-M82TUjlhyBRm_uW5buD9TCDrVTzmJ6jG1JAC0em7_AP4bJqDdXXKTA9FUO4pz1FuzxBX9GIKZTaxLk4SVvi7Sl1AKrdexK5PuLUMmfOjy1Vng5uX3v3HyE1W9BE0S5UAfeTwhhCZvjCyIIQE9BSl2w3jUJifDo5i67_0NXVNRz-SJK4KG7tPX7TFhoziArWmr1D_890QAkJa9OWsk9TkyTBoD4v6444-yihiE.UCmSJeHID02PD_K8mctmel_HY2Ck0BbQYaU11plu8BI&dib_tag=se&keywords=linner+nova+hearing+aids&qid=1719619779&sprefix=linner+nova+%2Caps%2C86&sr=8-1
97,Nova Lite,Nova Lite,Linner,Nova LiteNova Lite,https://www.amazon.com/LINNER-Bluetooth-Rechargeable-Cancellation-Wireless/dp/B0CKZ4NX73/ref=sr_1_2?crid=3FL1BYUL40ANB&dib=eyJ2IjoiMSJ9.dGxb97vpYlU2-vhOZE8zr-PXk-ZOtszEFzsPbxjPWo_wa85MonkMW-mpye9I3TUSP-3PC-M82TUjlhyBRm_uW5buD9TCDrVTzmJ6jG1JAC0em7_AP4bJqDdXXKTA9FUO4pz1FuzxBX9GIKZTaxLk4SVvi7Sl1AKrdexK5PuLUMmfOjy1Vng5uX3v3HyE1W9BE0S5UAfeTwhhCZvjCyIIQE9BSl2w3jUJifDo5i67_0NXVNRz-SJK4KG7tPX7TFhoziArWmr1D_890QAkJa9OWsk9TkyTBoD4v6444-yihiE.UCmSJeHID02PD_K8mctmel_HY2Ck0BbQYaU11plu8BI&dib_tag=se&keywords=linner+nova+hearing+aids&qid=1719619779&sprefix=linner+nova+%2Caps%2C86&sr=8-2
98,Deluxe,Deluxe,Linner,DeluxeDeluxe,n/a
160,Mars,Mar,Linner,MarsMar,https://www.amazon.com/LINNER-Amplifier-Rechargeable-Canceling-Assistive/dp/B0CPPQW7KD/ref=sr_1_3?crid=3FL1BYUL40ANB&dib=eyJ2IjoiMSJ9.dGxb97vpYlU2-vhOZE8zr-PXk-ZOtszEFzsPbxjPWo_wa85MonkMW-mpye9I3TUSP-3PC-M82TUjlhyBRm_uW5buD9TCDrVTzmJ6jG1JAC0em7_AP4bJqDdXXKTA9FUO4pz1FuzxBX9GIKZTaxLk4SVvi7Sl1AKrdexK5PuLUMmfOjy1Vng5uX3v3HyE1W9BE0S5UAfeTwhhCZvjCyIIQE9BSl2w3jUJifDo5i67_0NXVNRz-SJK4KG7tPX7TFhoziArWmr1D_890QAkJa9OWsk9TkyTBoD4v6444-yihiE.UCmSJeHID02PD_K8mctmel_HY2Ck0BbQYaU11plu8BI&dib_tag=se&keywords=linner+nova+hearing+aids&qid=1719619779&sprefix=linner+nova+%2Caps%2C86&sr=8-3
161,Mercury,Mercury,Linner,MercuryMercury,https://www.amazon.com/LINNER-Mercury-Hearing-Aids-Rechargeable/dp/B0CJ4LD29T/ref=sr_1_5?crid=3FL1BYUL40ANB&dib=eyJ2IjoiMSJ9.dGxb97vpYlU2-vhOZE8zr-PXk-ZOtszEFzsPbxjPWo_wa85MonkMW-mpye9I3TUSP-3PC-M82TUjlhyBRm_uW5buD9TCDrVTzmJ6jG1JAC0em7_AP4bJqDdXXKTA9FUO4pz1FuzxBX9GIKZTaxLk4SVvi7Sl1AKrdexK5PuLUMmfOjy1Vng5uX3v3HyE1W9BE0S5UAfeTwhhCZvjCyIIQE9BSl2w3jUJifDo5i67_0NXVNRz-SJK4KG7tPX7TFhoziArWmr1D_890QAkJa9OWsk9TkyTBoD4v6444-yihiE.UCmSJeHID02PD_K8mctmel_HY2Ck0BbQYaU11plu8BI&dib_tag=se&keywords=linner+nova+hearing+aids&qid=1719619779&sprefix=linner+nova+%2Caps%2C86&sr=8-5
179,Venus,Venus,Linner,VenusVenus,https://www.amazon.com/LINNER-Venus-High-Fidelity-Hearing-Aids/dp/B0CT899HV8/ref=sr_1_8?crid=3FL1BYUL40ANB&dib=eyJ2IjoiMSJ9.dGxb97vpYlU2-vhOZE8zr-PXk-ZOtszEFzsPbxjPWo_wa85MonkMW-mpye9I3TUSP-3PC-M82TUjlhyBRm_uW5buD9TCDrVTzmJ6jG1JAC0em7_AP4bJqDdXXKTA9FUO4pz1FuzxBX9GIKZTaxLk4SVvi7Sl1AKrdexK5PuLUMmfOjy1Vng5uX3v3HyE1W9BE0S5UAfeTwhhCZvjCyIIQE9BSl2w3jUJifDo5i67_0NXVNRz-SJK4KG7tPX7TFhoziArWmr1D_890QAkJa9OWsk9TkyTBoD4v6444-yihiE.UCmSJeHID02PD_K8mctmel_HY2Ck0BbQYaU11plu8BI&dib_tag=se&keywords=linner+nova+hearing+aids&qid=1719619779&sprefix=linner+nova+%2Caps%2C86&sr=8-8
180,Saturn,Saturn,Linner,SaturnSaturn,https://www.amazon.com/LINNER-Rechargeable-Amplifiers-Cancellation-Invisible/dp/B0D42244WV/ref=sr_1_4?crid=3FL1BYUL40ANB&dib=eyJ2IjoiMSJ9.dGxb97vpYlU2-vhOZE8zr-PXk-ZOtszEFzsPbxjPWo_wa85MonkMW-mpye9I3TUSP-3PC-M82TUjlhyBRm_uW5buD9TCDrVTzmJ6jG1JAC0em7_AP4bJqDdXXKTA9FUO4pz1FuzxBX9GIKZTaxLk4SVvi7Sl1AKrdexK5PuLUMmfOjy1Vng5uX3v3HyE1W9BE0S5UAfeTwhhCZvjCyIIQE9BSl2w3jUJifDo5i67_0NXVNRz-SJK4KG7tPX7TFhoziArWmr1D_890QAkJa9OWsk9TkyTBoD4v6444-yihiE.UCmSJeHID02PD_K8mctmel_HY2Ck0BbQYaU11plu8BI&dib_tag=se&keywords=linner+nova+hearing+aids&qid=1719619779&sprefix=linner+nova+%2Caps%2C86&sr=8-4
99,Core One,Core One,Audicon Corporation,Core OneCore One,n/a
100,Beacon,Beacon,Audicon Corporation,BeaconBeacon,n/a
101,NANO CIC Recharge OTC Hearing Aids,CIC2,Nano Hearing Aids,NANO CIC Recharge OTC Hearing AidsCIC2,n/a
102,NANO CIC Digital Recharge OTC Hearing Aids,CIC4,Nano Hearing Aids,NANO CIC Digital Recharge OTC Hearing AidsCIC4,n/a
103,Nano X2 Recharge OTC Hearing Aids,BTE4,Nano Hearing Aids,Nano X2 Recharge OTC Hearing AidsBTE4,n/a
104,Nano Sigma Plus Bluetooth OTC Hearing Aids,BTEPlus,Nano Hearing Aids,Nano Sigma Plus Bluetooth OTC Hearing AidsBTEPlus,n/a
105,Helix,Helix,Otofonix Hearing Solutions,HelixHelix,https://www.amazon.com/Otofonix-Rechargeable-Directional-Microphones-Canceling/dp/B093R3PZP5/ref=sr_1_2_sspa?crid=355NWXZADPEPA&dib=eyJ2IjoiMSJ9.x1nvOyqARkk4ewMHZggQfmpVkXLDTGeOTUdFk0ISxdNMLtOOUK6_C8I5NIHAdEwrnbLBE8YtBoftP5UTvVjjmTa-Wp05oa889OgR2gkdEbAdW-Uqegu57CY6tqfJjVvQiDW-rXCdY-wwO1A9_FX3uL7QSRVhaskyCGcIqIKdC0cVKu22nqWovt634QWGidDnGZ4BS-Yw1RiXxPg1_8f-SWf6RVyxWWa-ACeX0V0j4N5hqNHjtQykM4wokEICmodv8_RvK8puEoX3sMzIdW5mqJN-F-BKVbX6yKpTjhmsSVU.QW9GNAXrirxJRFT0AkvmU3y1kNCJF09erSi4csml4j8&dib_tag=se&keywords=Otofonix+Hearing+Solutions+helix&qid=1719620038&sprefix=otofonix+hearing+solutions+helix%2Caps%2C58&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
106,Encore,Encore,Otofonix Hearing Solutions,EncoreEncore,n/a
107,Groove,Groove,Otofonix Hearing Solutions,GrooveGroove,n/a
108,Elite,Elite,Otofonix Hearing Solutions,EliteElite,https://www.amazon.com/Otofonix-Background-Reduction-Nearly-Invisible-Moderate/dp/B01JX36VOS/ref=sr_1_2?crid=2TDCATVLE68WN&dib=eyJ2IjoiMSJ9.elUqAzDlQzJKiz8D6Jbzo8HfWfSizrMUGHu1uXLM6YIddSa7Sy_Xp3AUsYIEBHmoTpkxYWOO6hkurDZmQPIHn_awYfOCNMx5nB0Q5yDVecDBbyTnpjn_yYu1NLga88fjG9Hk5CRZK4d6mPJ3MbPRWCRsgl9ji3b7XUUIqOqFCHa1NsCRi_PirqgJlwI2Jgk2KynN-oeGSCqLOQsw7tQSW4ptVCObpXetz_7EdLlr_jjjODotWv0bNFwJFitDbsm9DgUhmq4EVQ46KaoNnSMIfhvKwLBnK-kIsmcWE4n7p4E.ielqUiZxILV0CckPiz1Ul_y0T4WYmTZK8ZVxjxz311I&dib_tag=se&keywords=Otofonix+Hearing+Solutions+encore&qid=1719620107&sprefix=otofonix+hearing+solutions+encore%2Caps%2C67&sr=8-2
109,Apex,Apex,Otofonix Hearing Solutions,ApexApex,n/a
110,Sona,Sona,Otofonix Hearing Solutions,SonaSona,n/a
111,Tweak Enhance Hearing Amplifier,Tweak Enhance,Ear Technology Corporation,Tweak Enhance Hearing AmplifierTweak Enhance,https://www.amazon.com/Tweak-Sophisticated-Performance-Rechargeable-Programming/dp/B09B1BL37X/ref=sr_1_1_sspa?crid=2Z5BE0T8F7EZN&dib=eyJ2IjoiMSJ9.G9yFB7t-zg5ADVWoGnPBld0-7QSk9TN4aeePuJeDmy8ofnzdihhfvYEBgw5_VHcZ1ek7B9r9knEbbVn8tA-5oFaVMuroCT-NRCHnomgs1Ir15TwIYTC_TFvE8WQ4DuX6IuL1QCsaYEisN-yCeatP86eoaa_dujnjLVPHZPBljADtqWdyl3LfoWLnIFJU4458V6igIf-AFKtUtMz4JNKXi4BOJK2rQfE7GxHV98b6uH1GIBOZAlIgMG5VA1VKQiF4NdAiVKuFvD9aKSL1FO5jldykoNKE4eJGnNpqEp9Rm8g.wsC_DzS2k4dtNyLxOxzY2gpJKjGTOTykeI6MqMn45NY&dib_tag=se&keywords=Tweak%2BEnhance%2BHearing%2BAmplifierTweak%2BEnhance&qid=1719620239&sprefix=tweak%2Benhance%2Bhearing%2Bamplifiertweak%2Benhance%2Caps%2C84&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
112,Tweak Hearing Amplifier,Tweak ,Ear Technology Corporation,Tweak Hearing AmplifierTweak ,https://www.amazon.com/Tweak-Amplifier-Amplification-Pre-Programmed-Accessories/dp/B08RGV786Z/ref=sr_1_6?crid=1CTH6PKQ580ZG&dib=eyJ2IjoiMSJ9.lQy5J_yLP9n13yYTSwua-iito8Nf3RgfBinbUaV37eh3bhCApwVPpS7PF1yiPyKik4KwUOc8j8WPmMixlEplATvwbqZ3J0aJo7tVQ_TgFT624rjMRSwTWbQNa--MtDjfI56e52AVlz4Ze2rolov_R46QAFnK0kRRoz23Nz9xRVogjTXXno592GKkgcT9pbtA_Qqu_cuHC-XkSxFRHfpF2qBRhy8Pda60eeWGTLWSY8JtsAKqHYTlMcO1y0xVh_mLkF54WVR9Zeg8e3o5aVHyRxs-8UfogH-7uWbfYtAeOZs.HwINzjksKE-WysRKdJtfb7FvyUkmrj9E-lxxsB4iNK0&dib_tag=se&keywords=Tweak%2BHearing%2BAmplifier&qid=1719620294&sprefix=tweak%2Bhearing%2Bamplifiertweak%2Benhance%2Caps%2C86&sr=8-6&th=1
113,Tweak Hearing Amplifier,Tweak Focus+T,Ear Technology Corporation,Tweak Hearing AmplifierTweak Focus+T,https://www.amazon.com/Tweak-Hearing-Personal-Amplifier-Digital/dp/B071J8XDRD/ref=sr_1_3?crid=2Z5BE0T8F7EZN&dib=eyJ2IjoiMSJ9.G9yFB7t-zg5ADVWoGnPBld0-7QSk9TN4aeePuJeDmy8ofnzdihhfvYEBgw5_VHcZ1ek7B9r9knEbbVn8tA-5oFaVMuroCT-NRCHnomgs1Ir15TwIYTC_TFvE8WQ4DuX6IuL1QCsaYEisN-yCeatP86eoaa_dujnjLVPHZPBljADtqWdyl3LfoWLnIFJU4458V6igIf-AFKtUtMz4JNKXi4BOJK2rQfE7GxHV98b6uH1GIBOZAlIgMG5VA1VKQiF4NdAiVKuFvD9aKSL1FO5jldykoNKE4eJGnNpqEp9Rm8g.wsC_DzS2k4dtNyLxOxzY2gpJKjGTOTykeI6MqMn45NY&dib_tag=se&keywords=Tweak+Enhance+Hearing+AmplifierTweak+Enhance&qid=1719620239&sprefix=tweak+enhance+hearing+amplifiertweak+enhance%2Caps%2C84&sr=8-3
114,The Workhouse,The Workhouse,Injoy,The WorkhouseThe Workhouse,n/a
115,The Choice,The Choice,Injoy,The ChoiceThe Choice,n/a
116,The Security,The Security,Injoy,The SecurityThe Security,n/a
117,All-Clear Hearing Aid,ADC1,Sennheiser,All-Clear Hearing AidADC1,https://www.amazon.com/Sennheiser-All-Day-Clear-Self-Fitting-Bluetooth/dp/B0CBDBPYP8/ref=sr_1_5?crid=3419XADLF9MSH&dib=eyJ2IjoiMSJ9.uVzg29n4PnHfj9NIZ1_f9jhVkrA9GeE0LwBzI76OaHTfpZn93GVFsfxN1Q-zDVQeR1aBztXLoQ36fBjpDERELzc4_VGwUjOh2fWmXctWBE7ZURRd8jJr3CT4AfIAZ-Klu2zw5mzRoCA-MYxUl9TRQYrlJ8RJFmKHZnOZgHsmMs8QT0VHJ_ShjFyf1kU8OY-7V6igIf-AFKtUtMz4JNKXi1bpIL5lCgNEOhRW98zzU0NJgMzTCWdsBO1SiHvkggHGOedpHZkUUB1_ra4FSk_yUYkgFKxHbTtpqYUMOLH4mGY.8M91ULO0N7LBNsmMl-Wiya7OZBym7N319XLAEuM3NEI&dib_tag=se&keywords=all-clear%2Bhearing%2Baid%2Bac1&qid=1719620426&sprefix=all-clear%2Bhearing%2Baidadc1%2Caps%2C85&sr=8-5&th=1
118,All-Clear Hearing Aid Slim,ADCS1,Sennheiser,All-Clear Hearing Aid SlimADCS1,https://www.amazon.com/Sennheiser-All-Day-Clear-Slim-Self-Fitting/dp/B0CB91F7J2/ref=sr_1_5?crid=1BFNGWOCQLM7Z&dib=eyJ2IjoiMSJ9.Joda2fe1jLfw9F0UWMsJagp4-PBGuqENXNFqEIk1DpyAyoGzbvSjrSJbinK0F9AMz-tdTkxvQ8EMUipyYiFtbxkcC1e_LfdwzlbMranXqGEeB0f97d4vplpE80HL52iJCveElW_0ePocZWfBEPXQzBI7MwodI8a6oxJdtep8Pju0eIXKx3A9orGHr8BfX7YuI7GTJZi72QMV0ArM5Lbr4M8JMm4gYY5jVoVi-i4_2FajOu83qSsCuhTTOAVWuLDNaAANi1xiyIOVQx54vwPYxqfA326HL_uEhV-pLwQP6to.JwvpH5PiZAocYy2s8xZaJxShu1Q5XiXA91vtiBKc2ec&dib_tag=se&keywords=All-Clear+Hearing+Aid+SlimADCS1&qid=1719620448&sprefix=all-clear+hearing+aid+slimadcs1%2Caps%2C78&sr=8-5
119,ZVOX Voicebud,VB20,ZVOX,ZVOX VoicebudVB20,n/a
120,ZVOX Voicebud,VB25,ZVOX,ZVOX VoicebudVB25,n/a
121,BlaidsX Neuro,Neuro,Blaids Hearing,BlaidsX NeuroNeuro,https://www.amazon.com/Rechargeable-Programmable-Cancellation-Bluetooth-Processor/dp/B0C3GSHLLL/ref=sr_1_5?crid=JPQARXSLQB9W&dib=eyJ2IjoiMSJ9.3j7BwFDP5wuOnxD9Za901bQuDHf79OWe5NWzc0v9RqnWO42qc9CSmpvDghIWhwBvhtr2xf8gp5gDqTxOQu-LidaiI3qn_i4wivziKyZveDvp16q7f37-A5RzKFr1oezGx7jdeDRTC5yfHyv76XaoLcNNqikh4s21nGT9oeBaATJZQyz1MnS2kYN-o5nWrMzBp4487_iyhj9XF2f7aqDO18A9_yVcJxHOPljlOpsGCfhgG9_TnSj4cZczvegj8gLCZzR5bpR8xBLTf_wASp_XyFX-Jt9wq8xezYO1meJPFdw.-PRHsa7WCEr1WMnqGfZ3UEr-eCVVpsGaIyeuzZgaQlw&dib_tag=se&keywords=BlaidsX+Neuro+hearing+aid&qid=1719620553&sprefix=blaidsx+neuro+hearing+aid%2Caps%2C65&sr=8-5
122,BlaidsX Pro,X Pro,Blaids Hearing,BlaidsX ProX Pro,https://www.amazon.com/Programmable-Cancellation-Bluetooth-Channels-Processor/dp/B0B9VSPGCG/ref=sr_1_1_sspa?crid=1Q35PI9OL2Z32&dib=eyJ2IjoiMSJ9.szAJq9KHt5TzTw7SXLjlM01dv6Zqe2V_Hd8NK2IxVisGOHei5pH83ANPnuO6weQr6KP_PD2TplhhpBspN9sTKyr8ceX6gFQAbeJwKymNbZE1ab2cends2YH9LCi-5_wZVbYdTl8FCKdVbqZ8PTFGwqRGuC1FV4hYRtUzDYJLUdxkSMiYidPAYrvZyp2p5x-xop8qYUgq--jZn5E9m7MKnpshK1cyqgQY9R36rTXBgreRwM-6Rh1R9lcRlkpiGw1dmrTSJUsS0caaQl2j4GhkybXf3bq1w663h6LK8bk2VcE.u3cey27ja7GJwqV2W8LRvxPHuP98iDjc5XSmOZVmaww&dib_tag=se&keywords=blades+prox+pro+hearing+aid&qid=1719620653&sprefix=blades+prox+pro+hearing+aid%2Caps%2C64&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
123,BlaidsX Micro CIC,Micro CIC,Blaids Hearing,BlaidsX Micro CICMicro CIC,https://www.amazon.com/Programmable-Cancellation-Invisible-Bluetooth-Channels/dp/B0D1GYDZZ3/ref=sr_1_2?crid=2LDVB4WN8LDNZ&dib=eyJ2IjoiMSJ9.1L7Ho9UY_v2KmLg3pAhgUl3EqdZyldp4_7zWn5uw7kb5CvP9nWLXGaz4rfcxRT8tjlvwsxLjdlFswXVLI8hgxjWSpo-x2azRC2d8ge9yLqOUG31xg6JY0HgTIB7HGBgmb5jJalqxn8c6wiw4u2NVDdGBH4fg8AixkubeB2RSzzrNpRIZJ8LWRfTPcOoOu-ZJens98VTi-FL67prXSY0KE2dERiplBCRdGNlqDikgr2Wg_Rjg8Suc8L3gMi3m1vhMAACD7VX4OsNMIpr9UkrLLoWz3GAmCOE7bsLtC3bh6is.aAWbcNd0C2hodDH-L70LepF5Ip7GCr6ne9YjC9wqOXg&dib_tag=se&keywords=auditech+hearing+micro+cic&qid=1719620701&sprefix=auditech+hearing+micro+cic%2Caps%2C69&sr=8-2
124,Stealth ,Stealth ,Auditech Hearing,Stealth Stealth ,n/a
125,Stealth Pro Digital ,Stealth Pro,Auditech Hearing,Stealth Pro Digital Stealth Pro,n/a
126,BTE Lightning RX,Lightning RX,Auditech Hearing,BTE Lightning RXLightning RX,n/a
127,TX-5,TX-5 Mini Plus+,Bossa Hearing Aids,TX-5TX-5 Mini Plus+,n/a
128,TX-1,TX-1 Mini Plus,Bossa Hearing Aids,TX-1TX-1 Mini Plus,n/a
129,ProTon,ProTon Plus+,Bossa Hearing Aids,ProTonProTon Plus+,n/a
130,ProTon,ProTon Max,Bossa Hearing Aids,ProTonProTon Max,n/a
131,BTE Rechargeable Hearing Aids,BTE Rechargeable Hearing Aids,The Hearing Co.,BTE Rechargeable Hearing AidsBTE Rechargeable Hearing Aids,n/a
132,Micro CIC Rechargeable Hearing Aids,Micro CIC Rechargeable Hearing Aids,The Hearing Co.,Micro CIC Rechargeable Hearing AidsMicro CIC Rechargeable Hearing Aids,n/a
133,Bluetooth ITE Rechargeable Hearing Aids,Bluetooth ITE Rechargeable Hearing Aids,The Hearing Co.,Bluetooth ITE Rechargeable Hearing AidsBluetooth ITE Rechargeable Hearing Aids,n/a
134,Micro BTE Digital Rechargeable Hearing Aids,Micro BTE Digital Rechargeable Hearing Aids,The Hearing Co.,Micro BTE Digital Rechargeable Hearing AidsMicro BTE Digital Rechargeable Hearing Aids,n/a
135,Micro CIC Rechargeable Hearing Aids v2,Micro CIC Rechargeable Hearing Aids v2,The Hearing Co.,Micro CIC Rechargeable Hearing Aids v2Micro CIC Rechargeable Hearing Aids v2,n/a
136,Micro CIC Battery Hearing Aids,Micro CIC Battery Hearing Aids,The Hearing Co.,Micro CIC Battery Hearing AidsMicro CIC Battery Hearing Aids,n/a
162,Micro CIC Digital Rechargeable Hearing Aids,Micro CIC Digital Rechargeable Hearing Aids,The Hearing Co.,Micro CIC Digital Rechargeable Hearing AidsMicro CIC Digital Rechargeable Hearing Aids,n/a
137,D09,D09 CIC Rechargeable,Vivtone,D09D09 CIC Rechargeable,https://www.amazon.com/Vivtone-Rechargeable-Indicating-Remaining-Percentage/dp/B0CZ71NFYS/ref=sr_1_5?crid=XVNSEKTHKEUT&dib=eyJ2IjoiMSJ9.OeKBVHZlvbiyrGirC1UOtUx1Og8EqcJW6Y4gOKhl743WeWgYxyUMxyHiPJsa0LExCA3jgXl8iD-fifwGrz4Z8y5WWn5WXoF1df7RGaIs0tJNtzIxzqE2mVOQ-y_9W7Uw-q583HMdVcA4Zc8c1a_9F8hkCe4cD_p-k3y5Z5dZuOSKwoJsNpwBe7-aMh6W3kY59ljX_aVFUPKT3JtIjcJKlks_oM7-SuJUh5Dys-P0GHAM6b0TLoLi6bLjQR8OOJ_4XxAj2dB7Lld8K7n7WqhH9HQoMbpuA89BXC686TFPoLo.x0sx-jfshtaeMZMSSQtJSWopJ6r9raME6cfMYAYpriM&dib_tag=se&keywords=D09D09%2BCIC%2BRechargeable%2Bhearing%2Baid&qid=1719620969&sprefix=d09d09%2Bcic%2Brechargeable%2Bhearing%2Baid%2Caps%2C61&sr=8-5&th=1
138,Lucid508,Lucid508,Vivtone,Lucid508Lucid508,https://www.amazon.com/Rechargeable-Hearing-Advanced-Charging-Lucid508-Beige/dp/B0D1MTYQ6R/ref=sr_1_1?crid=1H72EH6Y4KRU2&dib=eyJ2IjoiMSJ9.37QhSJ_D2BoziUIoIQ47xEvUZ3emg-erID5AYAXvstWw_JsY1uXKmQv8PndktbgX.5nOR3AItENaP5cNUUfX-QKQ5Ge9IFXm4KzsPndXoC8g&dib_tag=se&keywords=vivtone%2Blucid%2B508&qid=1719620994&sprefix=vivtone%2Blucid%2B508%2Caps%2C83&sr=8-1&th=1
139,Lucid516,Lucid516,Vivtone,Lucid516Lucid516,n/a
